NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
EMBRYO DEVELOPMENT ENDING IN BIRTH OR EGG HATCHING%GOBP%GO:0009792	EMBRYO DEVELOPMENT ENDING IN BIRTH OR EGG HATCHING%GOBP%GO:0009792	Details ...	169	-0.1945624	---	---	1.0	0.0	2021	tags=22%, list=14%, signal=26%	
REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051056	REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051056	Details ...	191	-0.1405766	---	---	1.0	0.0	1861	tags=16%, list=13%, signal=18%	
CELL JUNCTION ASSEMBLY%GOBP%GO:0034329	CELL JUNCTION ASSEMBLY%GOBP%GO:0034329	Details ...	167	-0.18246368	---	---	1.0	0.0	1223	tags=11%, list=8%, signal=12%	
PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	Details ...	171	-0.21095553	---	---	1.0	0.0	1426	tags=15%, list=10%, signal=16%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	141	-0.53964716	-2.6277738	0.0	0.0	0.0	1705	tags=39%, list=12%, signal=44%	
CARDIAC MUSCLE CELL DEVELOPMENT%GOBP%GO:0055013	CARDIAC MUSCLE CELL DEVELOPMENT%GOBP%GO:0055013	Details ...	27	-0.62050825	-2.2690256	0.0	0.009390846	0.021	1902	tags=44%, list=13%, signal=51%	
GLUCOCORTICOID RECEPTOR PATHWAY%WIKIPATHWAYS_20220310%WP2880%HOMO SAPIENS	GLUCOCORTICOID RECEPTOR PATHWAY%WIKIPATHWAYS_20220310%WP2880%HOMO SAPIENS	Details ...	49	-0.5415918	-2.2352872	0.0	0.012236183	0.031	1236	tags=31%, list=8%, signal=33%	
CALCIUM SIGNALING IN THE CD4+ TCR PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCIUM SIGNALING IN THE CD4+ TCR PATHWAY	CALCIUM SIGNALING IN THE CD4+ TCR PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCIUM SIGNALING IN THE CD4+ TCR PATHWAY	Details ...	19	-0.65775037	-2.1657531	0.0	0.019686373	0.058	1078	tags=32%, list=7%, signal=34%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	Details ...	26	-0.60104936	-2.1380465	0.0	0.02570208	0.084	484	tags=23%, list=3%, signal=24%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	Details ...	18	-0.6464487	-2.1182694	0.0	0.02818075	0.101	1935	tags=44%, list=13%, signal=51%	
