NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS	Details ...	81	0.7875418	2.3117757	0.0	0.0	0.0	2215	tags=86%, list=15%, signal=101%	
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 79%2408522	SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 79%2408522	Details ...	110	0.7588662	2.292334	0.0	0.0	0.0	2215	tags=75%, list=15%, signal=88%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	Details ...	98	0.77180636	2.2909012	0.0	0.0	0.0	2215	tags=79%, list=15%, signal=92%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	Details ...	90	0.7662908	2.2798345	0.0	0.0	0.0	2215	tags=79%, list=15%, signal=92%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	Details ...	86	0.7683588	2.269161	0.0	0.0	0.0	2215	tags=81%, list=15%, signal=95%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	Details ...	90	0.7694506	2.265636	0.0	0.0	0.0	2215	tags=81%, list=15%, signal=95%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	Details ...	90	0.76735866	2.2615721	0.0	0.0	0.0	2215	tags=80%, list=15%, signal=94%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	Details ...	92	0.76458305	2.2601948	0.0	0.0	0.0	2215	tags=76%, list=15%, signal=89%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	Details ...	86	0.76716095	2.2599502	0.0	0.0	0.0	2215	tags=80%, list=15%, signal=94%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	Details ...	112	0.7378347	2.2141871	0.0	0.0	0.0	2215	tags=67%, list=15%, signal=78%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	Details ...	97	0.7400955	2.209646	0.0	0.0	0.0	2275	tags=76%, list=16%, signal=90%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	Details ...	112	0.7378347	2.1971982	0.0	0.0	0.0	2215	tags=67%, list=15%, signal=78%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	Details ...	107	0.72014016	2.1677828	0.0	0.0	0.0	2275	tags=72%, list=16%, signal=85%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	Details ...	118	0.711213	2.1604881	0.0	0.0	0.0	2278	tags=69%, list=16%, signal=81%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	Details ...	115	0.710558	2.148047	0.0	0.0	0.0	2458	tags=71%, list=17%, signal=85%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	Details ...	108	0.71991265	2.146594	0.0	0.0	0.0	2275	tags=71%, list=16%, signal=84%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	Details ...	115	0.710558	2.1358676	0.0	0.0	0.0	2458	tags=71%, list=17%, signal=85%	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.2	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.2	Details ...	109	0.71415436	2.1306589	0.0	0.0	0.0	2215	tags=70%, list=15%, signal=82%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	Details ...	179	0.6872364	2.1083806	0.0	0.0	0.0	3099	tags=72%, list=21%, signal=90%	
CELLULAR RESPONSE TO STARVATION%REACTOME%R-HSA-9711097.2	CELLULAR RESPONSE TO STARVATION%REACTOME%R-HSA-9711097.2	Details ...	148	0.6901212	2.0967333	0.0	0.0	0.0	2215	tags=57%, list=15%, signal=66%	
CYTOSOLIC TRNA AMINOACYLATION%REACTOME DATABASE ID RELEASE 79%379716	CYTOSOLIC TRNA AMINOACYLATION%REACTOME DATABASE ID RELEASE 79%379716		24	0.83233804	2.0966737	0.0	0.0	0.0	2075	tags=88%, list=14%, signal=102%	
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.3	INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.3		130	0.68888915	2.0931346	0.0	0.0	0.0	3017	tags=70%, list=21%, signal=87%	
